id,br_celular_fmt,br_celular_sem,br_fixo_fmt,com_ddi,tpch_style
594,(81) 994320-7203,819943207203,(81) 3651-4850,+55 81 994320-7203,81-180-570-8277
595,(85) 968733-2442,859687332442,(85) 5508-9166,+55 85 968733-2442,85-557-423-2944
596,(71) 995638-1291,719956381291,(71) 2420-7609,+55 71 995638-1291,71-522-136-9996
597,(11) 921913-5990,119219135990,(11) 5645-9328,+55 11 921913-5990,11-675-311-8474
598,(51) 957624-1889,519576241889,(51) 5344-4652,+55 51 957624-1889,51-964-565-6439
599,(81) 991232-8751,819912328751,(81) 4935-6952,+55 81 991232-8751,81-833-563-2868
600,(21) 996364-4633,219963644633,(21) 2008-6592,+55 21 996364-4633,21-463-949-5783
601,(81) 978417-7125,819784177125,(81) 4875-2741,+55 81 978417-7125,81-146-268-9067
602,(31) 963636-2752,319636362752,(31) 3041-4209,+55 31 963636-2752,31-292-223-7437
603,(41) 969905-4122,419699054122,(41) 4935-6536,+55 41 969905-4122,41-210-875-7790
604,(11) 993000-3018,119930003018,(11) 5162-8381,+55 11 993000-3018,11-568-774-9260
605,(31) 975382-1071,319753821071,(31) 4172-1795,+55 31 975382-1071,31-666-543-8912
606,(81) 933226-3845,819332263845,(81) 4992-3103,+55 81 933226-3845,81-206-496-6273
607,(81) 960418-7859,819604187859,(81) 4494-5067,+55 81 960418-7859,81-380-507-6617
608,(48) 969355-3185,489693553185,(48) 2565-7762,+55 48 969355-3185,48-716-816-9393
609,(48) 981802-6143,489818026143,(48) 4915-4560,+55 48 981802-6143,48-305-314-5760
610,(51) 998129-3173,519981293173,(51) 4909-3913,+55 51 998129-3173,51-615-655-6281
611,(21) 956168-8870,219561688870,(21) 4387-7839,+55 21 956168-8870,21-790-865-9747
612,(48) 965363-1209,489653631209,(48) 4141-2744,+55 48 965363-1209,48-125-490-3381
613,(11) 997851-1927,119978511927,(11) 2818-5374,+55 11 997851-1927,11-868-904-3636
614,(48) 999573-5105,489995735105,(48) 2599-2016,+55 48 999573-5105,48-807-903-5835
615,(41) 980932-1529,419809321529,(41) 3469-8415,+55 41 980932-1529,41-204-730-4675
616,(81) 960972-4892,819609724892,(81) 4092-5712,+55 81 960972-4892,81-809-780-1769
617,(61) 960797-7825,619607977825,(61) 5918-6122,+55 61 960797-7825,61-665-155-1212
618,(48) 936619-8259,489366198259,(48) 5399-4695,+55 48 936619-8259,48-748-821-7025
619,(85) 981645-4218,859816454218,(85) 5179-4170,+55 85 981645-4218,85-401-559-3906
620,(21) 934507-3847,219345073847,(21) 5010-9418,+55 21 934507-3847,21-222-486-1665
621,(61) 946583-5329,619465835329,(61) 2532-3636,+55 61 946583-5329,61-698-966-5178
622,(11) 953327-8640,119533278640,(11) 4906-3536,+55 11 953327-8640,11-140-257-6285
623,(85) 916665-5934,859166655934,(85) 4009-6866,+55 85 916665-5934,85-174-902-6207
624,(81) 938830-4012,819388304012,(81) 4132-2117,+55 81 938830-4012,81-905-617-3611
625,(61) 981182-9798,619811829798,(61) 3652-2506,+55 61 981182-9798,61-457-326-4495
626,(51) 953393-6911,519533936911,(51) 3202-4579,+55 51 953393-6911,51-870-733-9691
627,(71) 983575-1144,719835751144,(71) 2469-6668,+55 71 983575-1144,71-556-346-4994
628,(11) 999463-6258,119994636258,(11) 3562-2857,+55 11 999463-6258,11-495-362-9851
629,(48) 913238-9468,489132389468,(48) 5367-7143,+55 48 913238-9468,48-626-922-9335
630,(71) 973806-1718,719738061718,(71) 3214-4154,+55 71 973806-1718,71-428-626-2349
631,(21) 931940-9814,219319409814,(21) 4184-1120,+55 21 931940-9814,21-741-167-4453
632,(41) 999837-7950,419998377950,(41) 5422-2702,+55 41 999837-7950,41-310-650-8130
633,(21) 999921-3519,219999213519,(21) 2097-8523,+55 21 999921-3519,21-834-439-1620
634,(21) 919600-1889,219196001889,(21) 2729-5127,+55 21 919600-1889,21-671-172-4729
635,(48) 963429-7357,489634297357,(48) 3847-7626,+55 48 963429-7357,48-543-423-1276
636,(61) 998250-2938,619982502938,(61) 4190-1096,+55 61 998250-2938,61-756-837-2036
637,(85) 915965-2189,859159652189,(85) 3465-9238,+55 85 915965-2189,85-208-396-5937
638,(85) 921338-5612,859213385612,(85) 5134-8170,+55 85 921338-5612,85-490-504-1504
639,(71) 930489-9740,719304899740,(71) 2900-3234,+55 71 930489-9740,71-864-500-9941
640,(48) 993105-3360,489931053360,(48) 3220-7113,+55 48 993105-3360,48-111-666-3316
641,(21) 915475-1082,219154751082,(21) 4345-7456,+55 21 915475-1082,21-650-660-2394
642,(48) 937532-6633,489375326633,(48) 2867-7760,+55 48 937532-6633,48-761-971-9397
643,(31) 931096-4014,319310964014,(31) 2904-5140,+55 31 931096-4014,31-298-217-3971
644,(85) 917128-9992,859171289992,(85) 3889-2198,+55 85 917128-9992,85-397-787-2103
645,(48) 922871-4234,489228714234,(48) 4972-8982,+55 48 922871-4234,48-438-465-3100
646,(41) 923113-5671,419231135671,(41) 4537-2143,+55 41 923113-5671,41-298-425-8960
647,(71) 953036-6008,719530366008,(71) 4840-3496,+55 71 953036-6008,71-679-680-6971
648,(51) 966139-3762,519661393762,(51) 2019-6131,+55 51 966139-3762,51-352-904-4629
649,(61) 946264-6889,619462646889,(61) 2550-6432,+55 61 946264-6889,61-998-591-8583
650,(71) 957020-6004,719570206004,(71) 3994-2783,+55 71 957020-6004,71-279-761-2343
651,(48) 928350-9824,489283509824,(48) 2804-5312,+55 48 928350-9824,48-851-741-2252
652,(21) 912441-9309,219124419309,(21) 4587-1511,+55 21 912441-9309,21-932-695-7637
653,(85) 937886-1600,859378861600,(85) 4259-5269,+55 85 937886-1600,85-656-652-8734
654,(31) 957948-7430,319579487430,(31) 2914-5767,+55 31 957948-7430,31-237-575-9210
655,(81) 921869-7500,819218697500,(81) 3490-9227,+55 81 921869-7500,81-110-778-4913
656,(85) 999674-3717,859996743717,(85) 5101-9423,+55 85 999674-3717,85-243-556-3608
657,(31) 984233-3395,319842333395,(31) 5014-8921,+55 31 984233-3395,31-467-141-4585
658,(71) 940375-2029,719403752029,(71) 3082-7052,+55 71 940375-2029,71-339-143-4387
659,(81) 957349-7358,819573497358,(81) 3923-8448,+55 81 957349-7358,81-147-140-6309
660,(21) 978337-5480,219783375480,(21) 5419-5314,+55 21 978337-5480,21-692-657-3848
661,(61) 995678-7201,619956787201,(61) 3496-2275,+55 61 995678-7201,61-629-357-7165
662,(41) 977681-7649,419776817649,(41) 3445-6653,+55 41 977681-7649,41-598-911-8898
663,(85) 910864-9222,859108649222,(85) 5612-3276,+55 85 910864-9222,85-550-269-4768
664,(21) 977441-5600,219774415600,(21) 2866-3461,+55 21 977441-5600,21-291-261-6934
665,(85) 925509-4773,859255094773,(85) 3698-6410,+55 85 925509-4773,85-837-216-8889
666,(71) 972786-4452,719727864452,(71) 4419-3641,+55 71 972786-4452,71-762-953-7732
667,(11) 941938-1706,119419381706,(11) 2523-3639,+55 11 941938-1706,11-237-744-9399
668,(11) 985008-3406,119850083406,(11) 2229-3725,+55 11 985008-3406,11-364-284-9464
669,(61) 988558-1305,619885581305,(61) 5598-5644,+55 61 988558-1305,61-187-321-8359
670,(85) 971789-8891,859717898891,(85) 2698-4594,+55 85 971789-8891,85-950-520-3338
671,(85) 933839-9369,859338399369,(85) 3083-3747,+55 85 933839-9369,85-841-802-6614
672,(71) 988188-2127,719881882127,(71) 2941-7196,+55 71 988188-2127,71-494-235-2778
673,(11) 936522-9564,119365229564,(11) 5520-9263,+55 11 936522-9564,11-800-529-3450
674,(85) 922622-3906,859226223906,(85) 3949-1639,+55 85 922622-3906,85-998-902-9706
675,(81) 925403-2526,819254032526,(81) 3975-3135,+55 81 925403-2526,81-717-652-1019
676,(61) 978425-7892,619784257892,(61) 3517-1711,+55 61 978425-7892,61-814-642-8028
677,(41) 973192-7246,419731927246,(41) 3435-2600,+55 41 973192-7246,41-535-237-5170
678,(71) 940475-2373,719404752373,(71) 3160-9908,+55 71 940475-2373,71-518-363-4096
679,(11) 910932-9561,119109329561,(11) 2482-9515,+55 11 910932-9561,11-107-484-4365
680,(51) 963588-6935,519635886935,(51) 2436-3535,+55 51 963588-6935,51-536-767-5155
681,(48) 980268-7939,489802687939,(48) 4312-6990,+55 48 980268-7939,48-726-382-7511
682,(41) 964162-8904,419641628904,(41) 2732-7065,+55 41 964162-8904,41-672-668-8925
683,(48) 950193-6641,489501936641,(48) 5171-7522,+55 48 950193-6641,48-853-241-2951
684,(41) 968536-3650,419685363650,(41) 2410-4513,+55 41 968536-3650,41-620-510-6544
685,(81) 990481-1852,819904811852,(81) 2658-7375,+55 81 990481-1852,81-751-105-2492
686,(31) 971822-8133,319718228133,(31) 2361-2049,+55 31 971822-8133,31-369-327-7075
687,(21) 989826-1618,219898261618,(21) 4967-7296,+55 21 989826-1618,21-510-728-9536
688,(48) 988311-1941,489883111941,(48) 5873-3871,+55 48 988311-1941,48-755-606-8192
689,(11) 936438-9489,119364389489,(11) 3171-4190,+55 11 936438-9489,11-134-902-9364
690,(81) 940365-3776,819403653776,(81) 4760-1590,+55 81 940365-3776,81-468-344-1004
691,(31) 921382-5520,319213825520,(31) 5193-7544,+55 31 921382-5520,31-461-785-7474
692,(61) 986818-4281,619868184281,(61) 4120-1251,+55 61 986818-4281,61-854-820-2124
693,(21) 982036-5661,219820365661,(21) 4974-6703,+55 21 982036-5661,21-455-935-5530
694,(41) 989477-4187,419894774187,(41) 3862-7618,+55 41 989477-4187,41-688-104-5277
695,(31) 963363-9294,319633639294,(31) 2436-2185,+55 31 963363-9294,31-615-401-6570
696,(21) 977277-5222,219772775222,(21) 5588-9813,+55 21 977277-5222,21-932-912-5098
697,(71) 959424-8923,719594248923,(71) 5153-4985,+55 71 959424-8923,71-875-447-8517
698,(71) 986916-1448,719869161448,(71) 3974-2904,+55 71 986916-1448,71-364-169-7269
699,(41) 998724-4767,419987244767,(41) 5277-6172,+55 41 998724-4767,41-522-461-9462
700,(81) 911274-5314,819112745314,(81) 3016-5706,+55 81 911274-5314,81-195-508-6603
701,(21) 982686-3924,219826863924,(21) 3951-6142,+55 21 982686-3924,21-462-323-5408
702,(31) 999536-4115,319995364115,(31) 4043-4271,+55 31 999536-4115,31-340-853-4965
703,(48) 937102-4755,489371024755,(48) 2830-5091,+55 48 937102-4755,48-956-733-6833
704,(31) 923983-2964,319239832964,(31) 5769-2285,+55 31 923983-2964,31-792-779-9071
705,(85) 910868-9871,859108689871,(85) 5923-1692,+55 85 910868-9871,85-968-593-7081
706,(85) 951342-9066,859513429066,(85) 5678-5501,+55 85 951342-9066,85-602-287-9374
707,(48) 962150-4638,489621504638,(48) 5072-3101,+55 48 962150-4638,48-155-638-7933
708,(71) 980879-1533,719808791533,(71) 4058-6689,+55 71 980879-1533,71-503-981-3863
709,(71) 925776-9490,719257769490,(71) 3884-6171,+55 71 925776-9490,71-805-108-1193
710,(41) 959732-2650,419597322650,(41) 3332-6924,+55 41 959732-2650,41-727-982-5254
711,(31) 981901-5306,319819015306,(31) 2971-5413,+55 31 981901-5306,31-582-727-6621
712,(51) 934105-9171,519341059171,(51) 3736-4449,+55 51 934105-9171,51-529-817-7099
713,(51) 962506-5581,519625065581,(51) 3846-3947,+55 51 962506-5581,51-685-234-4744
714,(21) 945382-4863,219453824863,(21) 4274-8081,+55 21 945382-4863,21-976-490-4212
715,(31) 929601-8749,319296018749,(31) 5300-1159,+55 31 929601-8749,31-280-531-9185
716,(31) 992660-9470,319926609470,(31) 4187-6172,+55 31 992660-9470,31-904-598-5915
717,(48) 983680-1781,489836801781,(48) 3631-2621,+55 48 983680-1781,48-807-267-1983
718,(41) 943330-8807,419433308807,(41) 5436-2577,+55 41 943330-8807,41-560-862-6483
719,(48) 957312-6903,489573126903,(48) 4295-5222,+55 48 957312-6903,48-452-120-7746
720,(21) 956018-4259,219560184259,(21) 4362-9821,+55 21 956018-4259,21-278-899-5663
721,(51) 952610-9363,519526109363,(51) 3996-8322,+55 51 952610-9363,51-180-490-5694
722,(71) 992799-3373,719927993373,(71) 5556-3745,+55 71 992799-3373,71-755-927-6527
723,(61) 992742-7631,619927427631,(61) 5477-2168,+55 61 992742-7631,61-181-265-6629
724,(41) 951088-6191,419510886191,(41) 4674-5773,+55 41 951088-6191,41-827-373-7479
725,(48) 968313-6950,489683136950,(48) 5063-9535,+55 48 968313-6950,48-561-523-3741
726,(31) 913027-3048,319130273048,(31) 4980-4844,+55 31 913027-3048,31-777-357-2311
727,(41) 931877-7505,419318777505,(41) 2421-2565,+55 41 931877-7505,41-165-999-8752
728,(81) 917055-1431,819170551431,(81) 5157-7504,+55 81 917055-1431,81-636-883-2363
729,(21) 944400-3544,219444003544,(21) 2345-7387,+55 21 944400-3544,21-416-334-5053
730,(48) 968085-3071,489680853071,(48) 2537-9630,+55 48 968085-3071,48-958-274-1468
731,(11) 996972-6846,119969726846,(11) 5524-6328,+55 11 996972-6846,11-984-587-8654
732,(81) 945705-9987,819457059987,(81) 3822-3213,+55 81 945705-9987,81-814-652-3900
733,(85) 988326-8480,859883268480,(85) 4584-8126,+55 85 988326-8480,85-636-755-9745
734,(48) 955504-8891,489555048891,(48) 4210-4721,+55 48 955504-8891,48-924-191-8239
735,(48) 957943-7753,489579437753,(48) 3064-3551,+55 48 957943-7753,48-410-110-1001
736,(81) 927865-6634,819278656634,(81) 3174-8687,+55 81 927865-6634,81-647-108-9059
737,(71) 949270-1149,719492701149,(71) 5137-8052,+55 71 949270-1149,71-917-399-4788
738,(11) 981855-7121,119818557121,(11) 2772-7745,+55 11 981855-7121,11-674-547-7467
739,(41) 931400-7385,419314007385,(41) 5393-7199,+55 41 931400-7385,41-325-369-2297
740,(61) 991962-4924,619919624924,(61) 4116-5454,+55 61 991962-4924,61-391-764-9715
741,(48) 964120-4080,489641204080,(48) 5495-2121,+55 48 964120-4080,48-286-239-5744
742,(21) 993478-8460,219934788460,(21) 4530-8418,+55 21 993478-8460,21-378-817-9060
743,(41) 952027-1317,419520271317,(41) 2623-1813,+55 41 952027-1317,41-647-122-4046
744,(21) 946977-5410,219469775410,(21) 2512-8183,+55 21 946977-5410,21-844-108-4814
745,(21) 929750-1241,219297501241,(21) 4021-4558,+55 21 929750-1241,21-450-530-6104
746,(71) 958679-8597,719586798597,(71) 4854-1519,+55 71 958679-8597,71-438-182-3393
747,(11) 944931-7429,119449317429,(11) 2292-9899,+55 11 944931-7429,11-581-285-4148
748,(48) 960014-1206,489600141206,(48) 2499-5078,+55 48 960014-1206,48-494-889-8257
749,(41) 914392-4263,419143924263,(41) 3887-2539,+55 41 914392-4263,41-633-781-4415
750,(71) 961003-6113,719610036113,(71) 5834-6293,+55 71 961003-6113,71-262-744-1691
751,(81) 978278-3001,819782783001,(81) 3037-8884,+55 81 978278-3001,81-753-405-4255
752,(51) 916827-4568,519168274568,(51) 5986-2850,+55 51 916827-4568,51-341-748-8113
753,(51) 911974-3742,519119743742,(51) 5253-5523,+55 51 911974-3742,51-698-222-7484
754,(41) 911170-1688,419111701688,(41) 4380-8786,+55 41 911170-1688,41-804-710-3539
755,(51) 921728-5075,519217285075,(51) 2645-9190,+55 51 921728-5075,51-193-802-6544
756,(11) 917834-6824,119178346824,(11) 4640-3521,+55 11 917834-6824,11-818-649-2759
757,(31) 973942-4812,319739424812,(31) 3297-6690,+55 31 973942-4812,31-924-549-4161
758,(11) 959514-6868,119595146868,(11) 4967-3207,+55 11 959514-6868,11-356-140-8951
759,(71) 983272-5828,719832725828,(71) 4223-9029,+55 71 983272-5828,71-294-680-4057
760,(81) 955569-6303,819555696303,(81) 4999-8674,+55 81 955569-6303,81-381-988-3627
761,(21) 979617-3539,219796173539,(21) 3840-5844,+55 21 979617-3539,21-939-369-9873
762,(51) 969517-1011,519695171011,(51) 5178-9289,+55 51 969517-1011,51-488-851-4039
763,(11) 991229-6965,119912296965,(11) 5178-4912,+55 11 991229-6965,11-428-838-2037
764,(81) 960789-4110,819607894110,(81) 4146-9151,+55 81 960789-4110,81-884-664-3525
765,(85) 947110-6285,859471106285,(85) 3678-6276,+55 85 947110-6285,85-213-198-9572
766,(21) 915737-3126,219157373126,(21) 2731-1512,+55 21 915737-3126,21-306-209-8952
767,(41) 922943-1521,419229431521,(41) 4338-7366,+55 41 922943-1521,41-773-601-9615
768,(85) 987371-5193,859873715193,(85) 2201-7002,+55 85 987371-5193,85-326-720-2161
769,(11) 937359-9051,119373599051,(11) 5802-2310,+55 11 937359-9051,11-579-920-1994
770,(51) 983140-7814,519831407814,(51) 5367-7046,+55 51 983140-7814,51-913-825-1955
771,(85) 944840-9667,859448409667,(85) 2166-2153,+55 85 944840-9667,85-954-411-2276
772,(41) 978089-2591,419780892591,(41) 2414-4784,+55 41 978089-2591,41-644-494-4104
773,(41) 978969-5075,419789695075,(41) 4334-3931,+55 41 978969-5075,41-671-867-7802
774,(21) 993705-6864,219937056864,(21) 4762-8515,+55 21 993705-6864,21-819-781-7997
775,(21) 931864-3955,219318643955,(21) 4252-7579,+55 21 931864-3955,21-616-445-3591
776,(81) 988632-8258,819886328258,(81) 5823-6772,+55 81 988632-8258,81-422-663-6319
777,(51) 964046-8054,519640468054,(51) 5383-6299,+55 51 964046-8054,51-723-346-9939
778,(41) 959160-5162,419591605162,(41) 3474-8412,+55 41 959160-5162,41-558-506-1003
779,(11) 947287-1267,119472871267,(11) 4120-3213,+55 11 947287-1267,11-409-106-5920
780,(41) 938157-6159,419381576159,(41) 2088-5521,+55 41 938157-6159,41-666-623-3534
781,(21) 914946-8542,219149468542,(21) 3456-3557,+55 21 914946-8542,21-241-371-7014
782,(85) 942749-4817,859427494817,(85) 3049-5920,+55 85 942749-4817,85-194-684-7550
783,(85) 938499-2264,859384992264,(85) 4963-6319,+55 85 938499-2264,85-911-594-3832
784,(71) 985527-2562,719855272562,(71) 4438-5921,+55 71 985527-2562,71-138-848-7251
785,(21) 917329-6478,219173296478,(21) 3425-8115,+55 21 917329-6478,21-526-988-2974
786,(41) 995561-1187,419955611187,(41) 4596-7266,+55 41 995561-1187,41-155-412-9591
787,(11) 951853-9846,119518539846,(11) 4313-3450,+55 11 951853-9846,11-434-614-4617
788,(31) 916621-7436,319166217436,(31) 5977-8300,+55 31 916621-7436,31-870-709-9269
789,(21) 939109-8076,219391098076,(21) 3186-7460,+55 21 939109-8076,21-251-235-6507
790,(21) 972371-1807,219723711807,(21) 4245-7540,+55 21 972371-1807,21-368-187-7529
791,(81) 966949-3136,819669493136,(81) 5121-3209,+55 81 966949-3136,81-592-672-4245
792,(71) 961815-4212,719618154212,(71) 4298-9589,+55 71 961815-4212,71-352-348-2173
793,(48) 966369-6298,489663696298,(48) 4804-2467,+55 48 966369-6298,48-215-787-7776
794,(61) 957876-6706,619578766706,(61) 2780-6254,+55 61 957876-6706,61-452-708-1396
795,(48) 932184-6729,489321846729,(48) 4524-8245,+55 48 932184-6729,48-738-249-8216
796,(11) 940603-4271,119406034271,(11) 4807-7124,+55 11 940603-4271,11-259-875-2405
797,(21) 917148-4982,219171484982,(21) 5886-3419,+55 21 917148-4982,21-989-952-5713
798,(11) 954993-2823,119549932823,(11) 3249-8373,+55 11 954993-2823,11-582-123-6437
799,(41) 980517-4471,419805174471,(41) 2834-9952,+55 41 980517-4471,41-635-868-5237
800,(81) 973311-3315,819733113315,(81) 4847-1301,+55 81 973311-3315,81-485-696-9631
801,(11) 943483-3790,119434833790,(11) 2246-5653,+55 11 943483-3790,11-305-908-5444
802,(11) 970943-1136,119709431136,(11) 2272-7367,+55 11 970943-1136,11-776-377-6901
803,(21) 912500-5792,219125005792,(21) 5552-7332,+55 21 912500-5792,21-336-489-9331
804,(21) 951347-8940,219513478940,(21) 5550-9709,+55 21 951347-8940,21-190-290-4258
805,(81) 970029-1352,819700291352,(81) 2162-5053,+55 81 970029-1352,81-642-412-6465
806,(71) 961563-3572,719615633572,(71) 2075-6681,+55 71 961563-3572,71-800-460-6822
807,(48) 940959-9212,489409599212,(48) 3129-2015,+55 48 940959-9212,48-740-363-7343
808,(11) 982737-5590,119827375590,(11) 2923-3485,+55 11 982737-5590,11-449-502-3248
809,(21) 960096-9531,219600969531,(21) 5934-4726,+55 21 960096-9531,21-527-346-3502
810,(61) 950944-6395,619509446395,(61) 3839-9883,+55 61 950944-6395,61-234-311-3270
811,(85) 980956-4314,859809564314,(85) 5533-3262,+55 85 980956-4314,85-416-805-9582
812,(31) 966369-3378,319663693378,(31) 4687-3589,+55 31 966369-3378,31-425-169-9732
813,(21) 934134-6203,219341346203,(21) 5438-3384,+55 21 934134-6203,21-844-130-6221
814,(61) 963903-5970,619639035970,(61) 3814-5485,+55 61 963903-5970,61-255-897-4079
815,(21) 927241-4026,219272414026,(21) 2107-5372,+55 21 927241-4026,21-720-680-4783
816,(85) 940432-4783,859404324783,(85) 4815-1427,+55 85 940432-4783,85-467-181-8808
817,(31) 975840-8680,319758408680,(31) 4916-7126,+55 31 975840-8680,31-288-972-7348
818,(71) 972108-3253,719721083253,(71) 2670-4166,+55 71 972108-3253,71-331-133-7694
819,(11) 945370-7767,119453707767,(11) 2911-4323,+55 11 945370-7767,11-875-309-2083
820,(31) 967577-9027,319675779027,(31) 4817-6323,+55 31 967577-9027,31-987-568-5043
821,(61) 963066-1685,619630661685,(61) 4490-7232,+55 61 963066-1685,61-837-420-7457
822,(85) 984964-9784,859849649784,(85) 4151-1630,+55 85 984964-9784,85-633-211-8399
823,(71) 915559-5025,719155595025,(71) 4124-9812,+55 71 915559-5025,71-505-852-1643
824,(81) 960777-9456,819607779456,(81) 5134-1807,+55 81 960777-9456,81-294-398-8201
825,(61) 949918-5684,619499185684,(61) 3889-3727,+55 61 949918-5684,61-532-401-1893
826,(81) 928643-8595,819286438595,(81) 5399-8400,+55 81 928643-8595,81-192-839-9202
827,(21) 933562-9952,219335629952,(21) 2554-7440,+55 21 933562-9952,21-523-431-8387
828,(11) 933445-8433,119334458433,(11) 4417-4308,+55 11 933445-8433,11-565-192-5097
829,(51) 995010-3686,519950103686,(51) 4942-3024,+55 51 995010-3686,51-193-216-8362
830,(51) 921181-9582,519211819582,(51) 4897-7292,+55 51 921181-9582,51-844-910-9383
831,(85) 930958-7204,859309587204,(85) 4254-7235,+55 85 930958-7204,85-144-886-3799
832,(51) 984120-3459,519841203459,(51) 2664-3369,+55 51 984120-3459,51-283-887-1840
833,(61) 950378-6071,619503786071,(61) 4990-8311,+55 61 950378-6071,61-395-741-3960
834,(21) 927245-4323,219272454323,(21) 2014-5146,+55 21 927245-4323,21-112-569-9153
835,(71) 981237-1094,719812371094,(71) 4490-9084,+55 71 981237-1094,71-343-322-8794
836,(71) 963759-8239,719637598239,(71) 2325-1107,+55 71 963759-8239,71-350-660-5556
837,(85) 992396-4401,859923964401,(85) 2200-4028,+55 85 992396-4401,85-251-156-6718
838,(11) 929054-1531,119290541531,(11) 4732-5889,+55 11 929054-1531,11-439-189-1803
839,(21) 964651-3920,219646513920,(21) 2660-5659,+55 21 964651-3920,21-725-776-3906
840,(71) 985886-6901,719858866901,(71) 5815-1587,+55 71 985886-6901,71-195-886-5903
841,(51) 958309-7208,519583097208,(51) 5359-2108,+55 51 958309-7208,51-876-537-2063
842,(48) 971710-3204,489717103204,(48) 2499-5496,+55 48 971710-3204,48-437-639-7779
843,(81) 937504-4425,819375044425,(81) 4506-1953,+55 81 937504-4425,81-211-685-9666
844,(21) 973394-5705,219733945705,(21) 3749-6185,+55 21 973394-5705,21-365-638-6797
845,(31) 990516-9132,319905169132,(31) 4128-9154,+55 31 990516-9132,31-604-927-3947
846,(85) 940503-5759,859405035759,(85) 2792-1025,+55 85 940503-5759,85-221-124-8616
847,(21) 937175-7793,219371757793,(21) 3695-1745,+55 21 937175-7793,21-441-458-4478
848,(11) 993967-4296,119939674296,(11) 4826-5614,+55 11 993967-4296,11-360-909-2111
849,(48) 949358-9301,489493589301,(48) 4252-6307,+55 48 949358-9301,48-885-106-2865
850,(51) 954742-7488,519547427488,(51) 4967-1477,+55 51 954742-7488,51-952-279-4178
851,(51) 954294-8849,519542948849,(51) 5752-8774,+55 51 954294-8849,51-916-136-3224
852,(71) 930366-8546,719303668546,(71) 5653-9797,+55 71 930366-8546,71-443-573-7782
853,(11) 978298-5904,119782985904,(11) 4314-6169,+55 11 978298-5904,11-668-648-1306
854,(41) 985680-6434,419856806434,(41) 5274-6793,+55 41 985680-6434,41-167-252-5595
855,(11) 954453-7147,119544537147,(11) 4566-9753,+55 11 954453-7147,11-962-269-7382
856,(31) 988012-2914,319880122914,(31) 5541-6050,+55 31 988012-2914,31-822-978-6152
857,(11) 945585-7780,119455857780,(11) 2355-9143,+55 11 945585-7780,11-998-343-7088
858,(71) 949666-4541,719496664541,(71) 4150-5953,+55 71 949666-4541,71-279-214-7131
859,(11) 936489-2517,119364892517,(11) 3817-9290,+55 11 936489-2517,11-125-918-8907
860,(81) 930195-4116,819301954116,(81) 3393-8921,+55 81 930195-4116,81-850-994-9579
861,(48) 952904-3347,489529043347,(48) 5151-2609,+55 48 952904-3347,48-941-628-3174
862,(41) 914791-8526,419147918526,(41) 3587-9558,+55 41 914791-8526,41-218-104-6095
863,(11) 987894-2426,119878942426,(11) 3365-8649,+55 11 987894-2426,11-147-205-9529
864,(48) 912946-6114,489129466114,(48) 4616-4438,+55 48 912946-6114,48-428-305-4154
865,(48) 946261-9720,489462619720,(48) 3307-8227,+55 48 946261-9720,48-787-220-5467
866,(31) 930643-5483,319306435483,(31) 2468-1249,+55 31 930643-5483,31-737-673-9422
867,(21) 937076-9888,219370769888,(21) 3434-6218,+55 21 937076-9888,21-377-244-5641
868,(85) 942089-3806,859420893806,(85) 2291-6101,+55 85 942089-3806,85-727-446-9856
869,(71) 916648-3131,719166483131,(71) 2118-8712,+55 71 916648-3131,71-791-151-2735
870,(61) 917051-2410,619170512410,(61) 3746-7421,+55 61 917051-2410,61-283-821-8304
871,(85) 956612-6119,859566126119,(85) 3361-4246,+55 85 956612-6119,85-830-876-9740
872,(21) 971039-3159,219710393159,(21) 2380-8672,+55 21 971039-3159,21-199-566-6085
873,(71) 971675-4796,719716754796,(71) 5880-4666,+55 71 971675-4796,71-247-981-5227
874,(51) 961390-4004,519613904004,(51) 4865-6412,+55 51 961390-4004,51-907-981-6320
875,(71) 973898-1495,719738981495,(71) 2267-8787,+55 71 973898-1495,71-215-459-8842
876,(71) 932387-5624,719323875624,(71) 5145-6711,+55 71 932387-5624,71-718-688-3087
877,(81) 923491-7646,819234917646,(81) 5348-2752,+55 81 923491-7646,81-433-669-2162
878,(48) 979828-8552,489798288552,(48) 3641-7773,+55 48 979828-8552,48-344-735-4992
879,(81) 930843-8903,819308438903,(81) 3572-2082,+55 81 930843-8903,81-448-313-8063
880,(61) 984345-6606,619843456606,(61) 4230-4869,+55 61 984345-6606,61-277-778-2276
881,(85) 973783-2873,859737832873,(85) 4425-8584,+55 85 973783-2873,85-433-668-2599
882,(71) 933091-6046,719330916046,(71) 5915-7648,+55 71 933091-6046,71-171-712-2781
883,(85) 959664-6364,859596646364,(85) 4024-2007,+55 85 959664-6364,85-192-322-3276
884,(85) 993379-1003,859933791003,(85) 5100-3403,+55 85 993379-1003,85-776-252-8421
885,(81) 948207-7389,819482077389,(81) 4521-8326,+55 81 948207-7389,81-300-310-6187
886,(48) 984747-5989,489847475989,(48) 5762-8122,+55 48 984747-5989,48-835-452-2462
887,(85) 911064-9362,859110649362,(85) 3655-3089,+55 85 911064-9362,85-972-401-2022
888,(51) 981943-1870,519819431870,(51) 2003-6885,+55 51 981943-1870,51-212-981-5623
889,(11) 940833-8073,119408338073,(11) 4876-7459,+55 11 940833-8073,11-740-425-7271
890,(61) 960012-8130,619600128130,(61) 4232-4460,+55 61 960012-8130,61-778-277-8780
